Reviews;#GENERAL;#FEATURE;#PRICE;#CAMERA;#DESIGN#SCREEN
still no full HD display in 2019 lmao how are they getting away with that without getting shit on by everyone;;;;;negative
Omg even xiaomi mi 9t is better then this;;;;;
Design is too worst;;;;;negative
The specs are quite literally the best on the market;;positive;;;
The GPU was already insanely better than any other GPU on the market and they improved it even more. Apples chips are 2 generations ahead of other chips, look up benchmarks.;;positive;;;
It also has the same cameras as the 11 apart from the tele, which will probably be the best camera on the market.;;;;positive;
Insane price for only $700. This model will be a top seller no doubt.;;;positive;;
It's a shame that we have to bought phone with LCD display in 2019;;;;;negative
Yeah. It's still a trash spec;;negative;;;
Still no 5G.... Wow Apple you can only do this;;negative;;;
Faster more energy efficient processor;;positive;;;
Bigger battery. Faster charging. Battery would last 4-5 hours more now;;positive;;;
Finally, an ultrawide camera. Better camera. Better video. Better selfie camera;;;;positive;
Design is very poor;;;;;negative
Again and agian 720p screen;;;;;negative
apple seems lost its steam;negative;;;;
cheep look in back side;;;;;negative
The main problems are that iPhone 11 screen is not OLED and you cannot watch 1080p YouTube videos on it;;;;;negative
At least Apple is smart enough to increase battery size on the 11;;positive;;;
a bit smaller notch. a little bit.;;;;;positive
2 big issues when price is that high, LCD screen and not Full HD display. Its freaking 2019/2020. Is it too much to ask from Apple.;;;negative;;negative
its 699 us dollars so idk what your talking about;;;positive;;
Iphone 11 should normally come with a FullView screen display instead of an oudated notch. and battery capacity should be at least 4000 mAh.;;negative;;;negative
There is no doubt app system and overall user experience in better on apple;;positive;;;
Well, dual camera, improved IP68, and the A13 are simply awesome;;;;positive;
Another dealbreaker is the screen resolution, you can't even do social media at full quality,;;;;;negative
Seriously? 350ppi display for that price?;;;negative;;negative
The screen resolution is low for the price;;;negative;;negative
Camera design is less terrible than other two models, It still got a notch there. Wobbles on table :/;;;;;negative
Great specs, except of it's golden price;;positive;positive;;
This would have been a really good phone if it were OLED screen;;;;;negative
if you look at the camera it looks terrible;;;;negative;
iPhone 11 has 4GB RAM;;positive;;;
Apple should make some phone in low budgets.cause iPhone 6 is not available much.We need a budget phone.;;;;;
i feel better user experience in the IOS than android;;positive;;;
Camera quality is good and does a really good job ;;;;positive;
iPhones are not expensive;;;negative;;
battery is a joke.;;negative;;;
i''m an Apple user myself and I must said that it has been a great experience overall;positive;;;;
Samsung is really good at photography and note 10 plus is similar price;;;;positive;
iphone with ios is always good for long term;;positive;;;
Why these horrid notches;;;;;negative
I liked the camera;;;;positive;
Iphone 11 pro and max are too expensive for me.;;;negative;;
Camera is great. All round great phone.;positive;;;positive;
The price is so so so high;;;negative;;
Upgrade iphone 11 this morning. Very happy with it;positive;;;;
iOS is simply magical.;;positive;;;
This phone only has a 828x1792 resolution LCD display;;;;;negative
Better battery, camera ( 1 extra ultra wide) and processor.;;positive;;positive;
these are not so bad just overpriced;positive;;negative;;
it works nice, price is fine as you are high income, done deal.;positive;;positive;;
it get hot when using and the battery life is not that good.;;negative;;;
the battery life, while not the top of its class, is enough to get you through the day, especially as of late;;positive;;;
Iphone has high end specs;;positive;;;
it has very nice display;;;;;positive
phone already last damn long;;positive;;;
These back cameras looks so ugly;;;;;negative
overall just a better phone.;positive;;;;
better screen, about the same performance, bigger screen. better cameras;;positive;;positive;positive
an overall better camera system;;;;positive;
The battery life is good for a phone with 3000+ mAh capacity, ;;positive;;;
The performance is really good;;positive;;;
the camera is another story, the image quality looks so bad on the ultra-wide angle shot, it is like oil painting when zoom in to see the details;;;;negative;
screen resolution is definitely a factor but overall i am satisfied;;;;;positive
i was impressed with performance and battery life;;positive;;;
camera is average;;;;positive;
display is good.;;;;;positive
not oled screen;;;;;negative
THE BEST device I have ever owned.;positive;;;;
The display is bright, vivid and colors are great;;;;;positive
The camera on this thing is amazing as well.;;;;positive;
The battery life is better;;positive;;;
The speakers are better too, loud, clear and rich;;positive;;;
would highly recommend it to all people looking for a flagship that would not break their bank;;;;positive;
I am extremely happy with this device;positive;;;;
You're getting probably the best battery life in probably any smartphone right now.;;positive;;;
The iPhone 11 has the fastest performance in the world;;positive;;;
great battery life;;positive;;;
amazing cameras;;;;positive;
The only dated parts of the phone are the display and the notch, neither of which are awful.;;;;;negative
The faster processor, better cameras, better battery life, extra gigabyte of RAM, and other things make this a good buy.;;positive;;positive;
You'll also be giving up the telephoto camera for an ultra-wide angle camera;;;;positive;
good battery life, good camera and regular updates.;;positive;;positive;
720P screen is outdated;;;;;negative
Almost 200g why so heavy;;negative;;;
I don,t like the look of the Phone. It should have had an Attractive look.;;;;;negative
Camera to me have reached a stage so good;;;;positive;
software is not so efficient;;negative;;;
So nicely built hardware;;positive;;;
iphone is smoother;positive;;;;
iPhone 11 has better camera sensors which captures more details;;;;positive;
iPhone X wins is with the display and the 3D touch.;;positive;;;positive
iPhone 11 is a no worries phone;positive;;;;
It got flagship specs, top camera, apple care support, best app selection, good for 5 years or more, no worries on apps;;positive;;positive;
This phone is alright and not too expensive;positive;;positive;;
the design is boring;;;;;negative
the chipset is very fast and the OS is bloat-free and efficient.;;positive;;;
Truthfully, the picture quality is good;;;;positive;
the user interface because for me its really great so far;;positive;;;
i have no problem with the camera;;;;positive;
iPhone 11. What a disappointment;negative;;;;
Really disappointed in Apple this was not ready for market;negative;;;;
I love iPhone 11.;positive;;;;
Camera is Bomb. I havent seen good camera like this;;;;positive;
Battery lasts much longer than 7 Plus;;positive;;;
Overall good Apple product with normal price;positive;;positive;;
Face ID is very secure, it won't unlock when your eyes are closed;;positive;;;
I agree iPhone 11 is powerful, good camera, no lag;positive;;;positive;
iPhone11 is efficient, it can even navigate and charge fully using a car 5watt charger.;positive;;;;
Great phone, never regret buying;positive;;;;
Everything look sharp and high contrast, even when it is LCD screen.;;;;;positive
It's battery life is super long, only 3101mah as stated in this website last 24hrs usage.;;positive;;;
Unlocking is soo much better then my old phone, fast and easy.;;positive;;;
it is rather hot when playing games;;negative;;;
I have used one week the results are satisfying;positive;;;;
Biggest bezels on the latest phones can be found on iphones;;;;;negative
Its hardware and software works seemlessly together to provide the premium feel.;;positive;;;
It contains only 3110mAH battery, and yet that battery capacity rivals phones with much much bigger batteries.;;negative;;;
Its LCD screen is on par with top of the line android flagships, without light bleeding.;;;;;positive
I currently use iphone 11 and im unimpressed with its display;;;;;negative
the 720 display is one of the biggest flaw the phone has;;;;;negative
Iphone 11 is a good phone;positive;;;;
its slow charging is really annoying and it doesnt feel original when holding it.;;negative;;;
I must say I am quite impressed by this phone;positive;;;;
You'll never understand the experience unless you've used an iPhone for considerable amount of time.;positive;;;;
I am happy enjoying iPhone's experience ;positive;;;;
Should have put an oled in this phone;;;;;negative
display is very poor;;;;;negative
this is the most powerful smartphone on the market right now and it performs like a pro;positive;;;;
great speakers with Dolby Atmos and spatial audio, great battery life, performance ;;positive;;;
Everything in this phone screams high quality;positive;;;;
LCD display is not good for this price;;;negative;;negative
Love this device;positive;;;;
Battery for all day long, the best camera, ultra smooth and the screen is very very good!;;positive;;positive;positive
LOL, the big-ass notch is still there;;;;;negative
Face ID or not, that is one ugly notch.;;;;;negative
this is it! one of the best mobile in industry!;positive;;;;
I dont like this design;;;;;negative
this is the design? sad...;;;;;negative
looks ugly camera bump;;;;;negative
12 MP camera sensor again, with 2x optical zoom again... Wow!;;;;positive;
Very bad design and specification;;negative;;;negative
This phone is intriguing, I'm thinking about upgrading my phone so I'm looking forward to hearing reviews!;positive;;;;
It is still one of the best camera for smart phones if not the best. Reviews can attest to that.;;;;positive;
This phone is extremely overprized;;;negative;;
I am talking about apple and it is overpriced. With no advanced features;;negative;negative;;
poor batery;;negative;;;
Great Phone. They have done it again. Time for the upgrade.;positive;;;;
Steve jobs must be shaking his head in the grave after launch of iPhone 11 pro. They are totally outdated in terms of design and features now;;negative;;;negative
"188 grams for a 5.8""? LOL, this is ridiculously heavy; I don't want to feel like I'm carrying a brick in my pocket!";;negative;;;
Finally some good f*cking battery life;;positive;;;
Its not a 120hz display its a 60hz display with 120hz of touch-sensing;;;;;positive
"It's just an iPhone XS with third camera and ""better"" display.";;;;positive;positive
Overpriced phone;;;negative;;
this is an absolutely overpriced shit.... even after this huge price tag what you'll get is 18w fast charging when rest of the world is using 25w or higher, 2x optical zoom when other companies have reached 5x,10x,....seriously apple...are you kidding?;;;negative;;
5G not Supported , it's Huge Limitation.;;negative;;;
still 3 year old display with huge notch ugly camera setup & with huge prices.;;;negative;;negative
Totally disappointed. Ugly phone of the year.;;;;;negative
3190 battery life is very disappointing at the price point.;;negative;negative;;
Dissapointed, im buying P30 PRO. This phone is ugly.;negative;;;;negative
Thats huge notch. while other brands try reduce notch size;;;;;negative
Welcome to apple. We at apple would like to introduce the iphone 11 and for the first time in apple history we are giving you a fast charger in the box!;;negative;;;
Very soon you will see other android devices copying this ugly design.;;;;;negative
Camera looks like philips electric shaver;;;;;negative
Love it;positive;;;;
Very poor back side design from apple(stive jobs);;;;;negative
for the iOS,no one would think Apple is actually selling a good products to consumers.;;positive;;;
So Ugly on it camera.nothing special compare to Xs..dunno what Tim Cook and the team is doing...nothing special except for the camera part...no longer the leader in Tech Industry... announcement damn boring...the whole world could see the actual design even before apple announced it yesterday...are they own the patents or somebody else?;;;;;negative
Yes, you are right. I'm not the buyer and I don't care about this phone. Just here to see the alien design camera. I'm from India, and It's priced at Rs 99990 ($ 1395) for the 64GB variant. Just too much inflation.;;;negative;;negative
quick charging is still slow and the battery life subpar;;negative;;;
At least it finally has a triple camera setup, but the notch is still horrendous. If this was their low end offering i'd consider this against something like mi 9 or mi 9t pro, but at a thousand bucks this is a hard pass - can do so much better for that kind of money.;;;;positive;negative
t's a good change so far. Great to know that it has an ultrawide lens. selfie video with slow motion, selfie 4k video wide lens, and ultrawide. So much packed for the same price as last year.;;;;positive;
Cameras at the back look so bad!;;;;;negative
the design innovation and features RIP apple.;;negative;;;negative
Samsung s10e is 400$ cheaper and 38 gr lighter with the same size;;;positive;;
Yeah, the iPhone 11 keeps the notch. l hates the iPhone notch.;;;;;negative
hey need reduce the notch. Too big for 2019 phone;;;;;negative
i dont like back design;;;;;negative
I never liked iPhone before but now this is the best iphone ever (for me);positive;;;;
notch is neutral for me, good specs and camera;;positive;;positive;positive
All useless features.;;negative;;;
And still take better photos and videos than other android phones around.;;;;positive;
Dude, 5G isn't perfected yet. Apple is really smart for not including 5G on iPhone 11 series.;;negative;;;
For Apple who has had some of the best designs ever.;;;;;positive
Camera design is bad.;;;;negative;
have a better option for the front cameras.;;;;positive;
Just wish they got rid of the notch.;;;;;negative
it has nfc?;;;;;
this new 11 series looks awful because of ugly back design and three cameras. Why too many cameras there is no need for three or two cameras one is enough.;;;;negative;negative
The X design is awesome;;;;;positive
I own an iPhone X right now, working excellent bought last August 2018 and battery life is 96%.;;positive;;;
the design is terrible come on apple you can do better than this or do you want to fall out of the tree;;;;;negative
Apple must be kidding me;negative;;;;
The design is from 2017, this is already the third generation with the same design. Just like Porsche 911 designers, iPhone designers also don’t have much to do. Look at the iPhone 6, 6s, 6s Plus, 7, 7 Plus, 8. All the same design. It is not ugly, but a bit boring. When I hold my iPhone 6, it still looks good, but it is just boring to have the same design for generation after generation. And it has these huge bezels all around since the iPhone X.;;;;;negative
You don't change the design in the sake of changing.;;;;;negative
Every year, the phones apple launch, influences the phones coming out later in the year or the year after. Many Chinese brands that have much potential become misguided by apple's old outdated design which holds the industry back. If their phones don't sell enough, other companies will be discouraged from copying it which will spark more innovation. So yes, the amount of sales they get does affect us.;;;;;negative
At the current state of the industry, Apple is feeling the market pressure from the Chinese brands. If they continued the 2-year-old design any further, the sales of iPhones would take a huge hit. Although the final product has turned out to be garbage, cooties to them for at least trying.;;;;;negative
Still no USB-C, design is disaster, price is high.;;negative;negative;;negative
Camera has improved but it also did on Android, so we have to see how well it'll go against the competition.;;;;positive;
All in all, I'll never pay over 500 or 550€ tops for a phone.;;;negative;;
The camera is always 12mp with iphone. camera is bad;;;;negative;
Camera on my DSLR is 12MP and it takes great photos. more mexapixels doesn't make your photo look better, it can actually be opposite if the sensor and lens aren't very good. That's why there's no MP war in mobile world, because companies knows adding more mexapixels doesn't make your photos better.;;;;positive;
confirmed only 4g ram;;negative;;;
2019 One Of The Worst Design In Apple..Really Disappointe.. Hate This;;;;;negative
4 GB RAM in 2019, for 1000$ phone, is insane even iOS is optimized, 3rd party apps are becoming more hungry.;;positive;;;
Don't buy;;;negative;;
iPhone 11 PRO and iPhone 11 PRO MAX have 4GB RAM only;;negative;;;
The picture looks good in samsung because they have much better screen resolution and pixels per inch(ppi). Thats the only reason. You can compare;;;;positive;
It remind of cheap brands phone having 3 or 4 camera if this is the real pictures iphone shares must be falling rapidly;negative;;;;
It is the fastest smartphone ever. Think about reality insted of spec sheets.;positive;;;;
the real compact phone!!;positive;;;;
But the design is horrible. I was waiting for iPhone 11 to show up. I just didn't believe the design pictures in the leaks, it turned out to be true. Really disappointed in Apple to come with such an ugly design in 2019.;;;;;negative
I like the iOS.;;positive;;;
Guys ! We can't ignore the excellence of iPhones. In each and every manner there is no substitute of apple. The display quality, the operating systems nailed it's reflection on other os. The sound and the feel of iPhone has no replacement in this world. In simple words can't wait anymore for new I phone .;positive;positive;;;positive
That's a bit exaggerated, The redesign is terrible this year, battery is sub par by today's standards and only perk of getting new iPhone is A13 chip.;;positive;;;negative
Design is definetely better then brick. Innovation a lot better as it gives a feel of Philips Norelco Electric Shaver. Personally i would rate this phone very highly since it has 4k video recording front-back and still has 64gb option.;;positive;;positive;positive
Apple at its finest.;positive;;;;
It is absolutely beast(processing power) then its predecessors iphones.;;positive;;;
All in all a great product.;positive;;;;
An absolute recommend.;positive;;;;
Finally in terms of pricing, it's reasonable since its an iphone and provides value to its users by its name itself.;;;positive;;
I've grew up on windows machines. Made the switch to mac so for music production and as such have been immersed in the apple ecosystem. My last phone was the iphone xs 64gb. I decided to buy the s10+ on a whim and have been thoroughly impressed with the samsung. I am honestly not impressed with the iphone 11. Sure iOS offers a slick user experience but its not enough to justify apple ignoring the clear advantage the current android flagship phones have in terms of specs. Thumbs halfway down for me.;;negative;;;
Get a used iPhone Xs or Xs Max, much better.;positive;;;;
closed apple ecosystem is like living in north korea, no freedom;;negative;;;
Very EXPENSIVE for almost Nothing! Apple is SIMPLY playing MIND GAME with Apple Fans. I think is not a Good Practice to Stay Ahead a Brand Ambassador;;;negative;;
That's a very good decision and of course the XS has a much beautiful design!;positive;;;;positive
Imagine not buying one but wishing you could and instead hanging around on the iPhone 11 pro comment section of gsmarena to troll because you really want one.;;;;;
The Only Advantage in iPhone 11pro is some special camera features and not to forget 800 Nits which is Pretty Awesome for HDR;;;;positive;
"there is no need for bezels design wise. All of the future phones should be bezel-less. iphone 11 design looks ancient, outdated, useless, terrible, disgusting to me. If it was notch-less with full screen on the front, and have a good back design; I would pay a few hundreds more for iphone 11 pro max.";;;;;negative
Dont know how is Iphone 11 outdated, you probably never tried it in real life;negative;;;;
Got the phone today and the design looks very good in real life and the new cameras are stunning.;;;;positive;positive
 Overall this is definitely a good upgrade over the x but I would not like to say it would be a huge leap over the xs.;positive;;;;
It does have faster face I'd than my iPhone x but I cannot find any difference in the screens at all. Battery life is not what I thought it would be. There is no way that my iPhone 11 pro would last 4 hours longer than my iPhone x.;;positive;;;
Excellent phone good camera. Night mode is good but could be better. ;;;;positive;
new cameras, but can't do 8K30 video;;;;negative;
Camera in daylight is amazing and the skin tone is the best I've seen. Impressed with the cameras.;;;;positive;
Dont expect 4 hours more screen-on time, noone said you would get that, 4 hours more is a best case scenario with varied usage. Build realistic expectations through understanding what youre reading.;;positive;;;
I don't like it;negative;;;;
Nothing new here moving on.;negative;;;;
Yea I mean it's a new iphone with the same specs as the 10 and yet the Samsung galaxy S10+ has way better specs;;negative;;;
"Got my 11 Pro 512gb today, coming from Xs. Worthy upgrade? Yes absolutely, though i have to admit that wideangle photo is as i expected; not very useful but it could be handy at times. Performance is ofcours extreme, faceid is noticeable faster than Xs, the texture of the back glass is awesome.";positive;positive;;positive;positive
First of all, the fact that it's only 12 megapixels means absolutely nothing, the image quality is still amazing. Second, if you're complaining about RAM on an iOS device, you've clearly never used one in your life.;;positive;;positive;
The display super retina and cpu hexagon is extremely satisfy but still poor battery;;negative;;;positive
the iphone is best phone in the world but thats what apple fans think.;positive;;;;
iPhones are way better than android except the price that too in India.;positive;;negative;;
Radiation level is beyond threshold in the new iPhone 11 (Pro too), even without any data connection. Also, support forums at apple site have gone nuts over heating issues, draining batteries, blurry wide-angle camera, etc. Even a premium brand is still far from perfection.;;;;;
Camera is not extraordinary, does not let you use night mode on wide angle camera.... huawei let's you.;;;;negative;
Battery compared with huawei is a joke.... Always looking for percentage and for charging places.;;negative;;;
I have been used for half a month and overall it is ok;positive;;;;
I cant believe how horrible sound via headphones is.. i used android for few years and am totally surprised how bad sound is. Iphone 3gs had much better sound quality via 3.5mm jack. Am just sorry for people who listen this garbage everyday. Peace;;negative;;;
This is the world most, superb , extreme, ultimate device;positive;;;;
Now it is perfect design of Apple.;;;;;positive
I love it so much;positive;;;;
Worst design ever saw in a phone;;;;;negative
What a big notch;;;;;negative
Nice phone, but this little beast will cost at least $1400 where I live haha man those prices.;positive;;negative;;
This is the second ugliest phone;;;;;negative
IPhone is making the ugliest smartphone;;;;;negative
Don't think this will bring anything revolutionary to the table;negative;;;;
Truth that you leave... It's the ugliest iPhone ever!;;;;;negative
Very bad rear design;;;;;negative
Cool for some people, but ugly for most;;;;;negative
this phone will be utterly disappointing.;negative;;;;
the huge notch in 2019 is unacceptable;;;;;negative
Amazing device;positive;;;;negative
Personally I think that this is the ugliest design of iPhone;;;;;negative
Nice Speaker array on the back;;positive;;;
Apple's worst design;;;;;negative
12 MP camera sensor again, with 2x optical zoom again;;;;negative;
Still 3500 battery;;negative;;;
Ugly design;;;;;negative
So, still NOT QHD screen, still NOT more than 12 Mpx Camera. No 3,5 mm Jack, Still no Card slot.;;negative;;negative;negative
Absolutely overpriced;;;negative;;
Still the notch.;;;;;negative
Another overrated and overpriced worthless phone haha;negative;;negative;;
What I hate about this phone is that NOTCH and that FREAKING HUGE HOLES CAMERA!!;;;;;negative
Look here. Hole punch is still a notch;;;;;negative
Same ugly design every year.;;;;;negative
way over priced - - as always;;;negative;;
Not Happy about that phone really;negative;;;;
It has almost nothing new and uglier design.;negative;;;;negative
Why do they keep this old notch and screens;;;;;negative
the battery capacity is still small comparing to other Android phones;;negative;;;
the design of camera is ugly;;;;;negative
it's soo expensive,at this prices you can buy a better phone;;;negative;;
Ugliest design ever;;;;;negative
ugly designed camera;;;;;negative
The best design ever, WO;;;;;positive
Older design and not yet 5G support ;;negative;;;negative
Lol 6gb ram;;negative;;;
The design is horrible;;;;;negative
The ugliest notch in 2019.;;;;;negative
The A13 chip is the power, which will skyrocket compared to any other device on the market today;;positive;;;
I really don't like that big notch. looks outdated already.;;;;;negative
I Love This Product;positive;;;;
This is Most Powerful and Liked Phone from Me;positive;;;;
really disappointed;negative;;;;
The phone is quite good.;positive;;;;
There are no 5G network;;negative;;;
poor upgrade from last year;negative;;;;
the worst looking screen/phone ever;;;;;negative
omg so Apple really released this shit looking phone to its customers.;;;;;negative
Worst backside design in a phone and still the big notch while some other phones have removed the notch completely.;;;;;negative
The most ugliest phone ever made;;;;;negative
better camera and speed;;positive;;positive;
A13 is more powerful processor than any other phone;;positive;;;
Nothing new here, same design, difference! is the back that is ugly AF sorry am not a hater I just gotta be honest looking;negative;;;;negative
Too much Weight;;negative;;;
226 g, that is far too heavy!;;negative;;;
Oh my god. No in display fingerprint.. cost 11 hundreds of dollars..;;negative;negative;;
Looks like an Alien;;;;;negative
226 grs? You're joking.;;negative;;;
no change at all disappointed;negative;;;;
Camera look like ugly but that will be another trend like notch.;;;;;negative
Iphones are more and more putting on weight. Too heavy phones is a nightmare for the hands.;;negative;;;
where is the 5G band its time to make 5G support phone.;;negative;;;
camera still 12MP;;;;negative;
Very very Bad Design This;;;;;negative
ah...battery!;;negative;;;
It looks like Philip's shaving machines;;;;;negative
No 5G network support in Iphone yet.;;negative;;;
226g weight like a metal bricks??? the weight is about almost the mate 20X weight! Shame apple!!!;;negative;;;
Alien like camera lens phone??? I hate this phone design.;;;;;negative
most ugly phone on world;;;;;negative
same specificaticons as previous model, no micro sd , no 3,5 mm audio jack, no 5g;;negative;;;
overpriced;;;negative;;
Wtf .. battery;;negative;;;
worst looking phones ever;;;;;negative
Nothing new, nothing impressive. No innovation at all;negative;;;;
Just Love the Apple iPhones;positive;;;;
very bad and old look back cover style come on iPhone what happened with your designer team its look like a normal phones;;;;;negative
The only thing i dont like about this phone is the design. cameras looks weird;;;;;negative
Wow, an iphone with OLED display. Took them a while.;;;;;positive
Old phone in old design;;;;;negative
this is the ugliest phone ever.;;;;;negative
this is the best in smartphone industry;positive;;;;
it looks a great phone;positive;;;;
one of the best ever;positive;;;;
Disappointed with the design...I thought the could pull a big surprise as they did with the iPhone x but no;;;;;negative
Too big and akward notch ... backside cameras looks like tripple barrel gun;;;;;negative
I will never change my android for an iPhone they don't have no difference from the android the system that iPhone are using android did have it first very disappointed;negative;;;;
ugly iphone.. same design with useless notch;;;;;negative
the NOTCH just got wider!!!!;;;;;negative
They have upped their game a little bit but kept the same design to be honest I would go for the huawei flagships and Samsung flagships instead.;positive;;;;negative
"The ""worst"" iPhone design ever. Camera placement looks like a fidget spinner and notch is very annoying. 0/10 for the design.";;;;;negative
not gonna lie apple is going to face problems;negative;;;;
But lame design. And it gonna feel heavy on the hands;;negative;;;negative
It's dope;positive;;;;
This design shows that Apple is totally out of ideas;;;;;negative
Although the camera setup is not the most appealing one, it's still a beautiful and extremely capable phone.;;;;;positive
O boy ugliest iphone Ever. looks like spider eyes;;;;;negative
Apple you should learn from MEIZU how to make beautiful phone with thin bezel instead of ugly notch...;;;;;negative
What a terrible design;;;;;negative
Fastest CPU and GPU, others still struggling to catch up with previous gen CPU.;;positive;;;
At the core of this update is Apple's new processor, the A13 Bionic, which Apple claims is the fastest CPU and GPU in a smartphone.;;positive;;;
Big Disappointment.;negative;;;;
Spider's eyes low spec. Worst update.;negative;;;;
4GB RAM is a disappointment. it should have been 6GB;;negative;;;
This camera looks like fidget finger. Nothing new;;;;;negative
The most advanced ugliest camera ever on a phone;;;;;negative
Why is too expensive ?!;;;negative;;
the phone is damn so beautiful especially cams form and replacement;;;;;positive
Same front design (notch);;;;;negative
Same 4 GB RAM;;negative;;;
Same 64 GB ROM to choose minimum and above (price tag);;negative;;;
No 5G;;negative;;;
No reverse wireless charging;;negative;;;
Additional 3rd Camera Lens (Ultra Wide);;;;positive;
Slight improved CPU;;positive;;;
Slight improved GPU;;positive;;;
Apple has hurt its fans by introducing ugly looking back of new 11 series.;;;;;negative
The reason why Apple is still overpriced is because of that NOTCH!!!!!;;;negative;;negative
I'm sorry, but the iPhone notch is HIDEOUS.;;;;;negative
The first time I saw the iPhone X, I couldn't believe they would release something so damn ugly. Now it is 2 generations later and that damn notch is still ever present.;;;;;negative
worst phone ever lol;negative;;;;
No USB C type port;;negative;;;
yes the best phone hands down just because they say it must be true;positive;;;;
Hello, i agree with you, the notch looks a little dumb.;;;;;negative
The ugliest 3-camera phone placement I've ever seen.;;;;;negative
They have introduced new feature called Heptic touch;;positive;;;
Apple don't know the meaning of the word Innovation;negative;;;;
New pro max is hefty quarter a kg weight and thicker;;negative;;;
Bezel are even thicker and notch;;;;;negative
I’m an Apple user and I’ll even say that this release is truly disappointing;negative;;;;
There is very little difference between the 2018 and 2019 devices, both aesthetically and technically.;negative;;;;
Horrible. Enough reason to pass along with the price.;negative;;;;
Ok, i know that the optimisation is good and so is the ecosystem so, yeah fine, use iPhones.;;positive;;;
I'm a fan of apple but the fact is we have been seeing same prior notch design for 3years Apple please bring some innovative design at least for new year incremental approach needs to be change now...we all want revolutionary steps from apple in next year..;;negative;;;negative
For the people who use it for the ecosystem and fluidity, I just don't think it's worth it just for that considering the price you're paying for it;;;negative;;
APPLE SELLS OLD TECHNOLOGIES AT LAST SEC INOVATION PRICES to loosers that now nothing outside Apple environment;;negative;negative;;
The iPhone 11 pro Max already has a bigger battery compares to iPhone XS Max!;;positive;;;
why aren't they going for a different thing...because iphone 11 is same as the iphone 10...only the camera structure is differs from the other one...so hoping a bigger difference in the future,,;;;;;
But, iPhone 11 has ultra-wide camera too;;;;positive;
Sorry, but it's ugly;;;;;negative
Wtf 4gb ram in 2019???? .....(No comment);;negative;;;
Don't mind them.iOS is ahead of Android like 10x far better. Android users including me should just accept it. Let everyone stay on their lane;;positive;;;
This is real badass phone.;positive;;;;
Best camera and video camera;;;;positive;
Best screen;;;;;positive
Best CPU;;positive;;;
Best GPU;;positive;;;
Best performance;;positive;;;
Best battery life;;positive;;;
Best price.;;;positive;;
Only 4Gb ram???;;negative;;;
Best phone ever..;positive;;;;
Boring phone with big price, making the same thing every year;negative;;;;
Apple invented notch but don't know how to remove the notch;;;;;negative
You are totally right, iPhone is the worst;negative;;;;
Still ugly still notch still stupid design and still 99.9% customer satisfaction;;;;;negative
it has 3696 battery capacity nice;;positive;;;
I'm not gonna bad-mouth the iphone11, it really looks good (at least not as ugly as most early leaks and rumours had suggested);;;;;positive
The thing is Apple is more optimized. While more RAM, CPU speed, etc. will definitely help;;positive;;;
It's the best phone ever.;positive;;;;
Battery charging is so late;;negative;;;
from my point of view Apple lost its edge this year with iphone 11 and 11pro;negative;;;;
just got this phone! And the camera is crazy good;;;;positive;
4gb of ram at that price!??? I can find a phone with 8gb at over half the price or I can build a gaming pc with 4x times amount of the ram. So over priced;;;negative;;
It has the best battery life for a 2019 flagship;;positive;;;
Best screen;;;;;positive
Best CPU and GPU;;positive;;;
Best battery life;;positive;;;
Best still and video camera.;;;;positive;
This phone is really killing it;positive;;;;
I've never been an Apple fan, but this phone is exceptional in so many ways;positive;;;;
its display is among the best in the market in 2019 and so are its cameras and build quality;;;;;positive
Its CPU, GPU and battery performance is the absolute best in any 2019 phone so far;;positive;;;
The large notch will always remain the same eyesore as in the times of the iPhone X, and the camera arrangement on the back is definitely not the best looking.;;;;;negative
over priced;;;negative;;
Iphone 11 pro max now this time stil best phone of the world;positive;;;;
Much better if iphone have radio and dual sim;;positive;;;
so expensive;;;negative;;
I got gifted the iphone 11 pro, it costed way too much i can agree on that;;;negative;;
It has great colour calibration,bright display,good viewing angle,great black deep for lcd screen plus it has 120hz touch-sensing which i can feel the silky smooth experience in scrolling and tapping;;;;;positive
I have a space gray and it looks very good in real life.;;;;;positive
If we talk about the rear it's probably the ugliest iPhone ever, they could make a better job with the cameras area.;;;;;negative
Faster in opening phone menus even when windows are closed (finally !) Some apps open much faster and pages within those apps load much faster , but only some apps. Regardless, this is probably attributed to iOS 13;;positive;;;
Goddamn this phone is ugly. So what is making people buy this phone with the same design.;;;;;negative
Hate that notch. No innovation coming from Apple in design;;;;;negative
Absolutely right.... Apple phone its really a horrible product;negative;;;;
Fastest smartphone on the planet, plain and simple..;positive;;;;
I cant believe people still pay Apple's extortionate prices for sub-standard tech;;;negative;;
Bad design;;;;;negative
The best phone currently you can get is the Iphone 11 pro max, the display is really gorgeous and the processor A13 will remain the fastest, the battery is really good for me as very heavy user;positive;positive;;;
seeing only 8 mpix selfie camera is not really good.;;;;negative;
Camera only 12 MP and Battery only 3.500 mAH ? No !;;negative;;negative;
If only there was a 1TB storage and 12GB RAM variant of the smaller phone.;;;;;
Why FM radio in USA & Canada only?;;;;;
They giving the lower end phones bigger battery;;negative;;;
Samsung should build a larger battery like other mobiles.. that's critical for flagships..;;negative;;;
The S10 have a 3500 mAh battery!;;positive;;;
Samsung always lies on official renders of phones, they always show less bezel then are the case.. Samsung are liars;negative;;;;negative
3300 mah battery are you made Samsung??;;negative;;;
Weak battery;;negative;;;
