Reviews;Aspect
I don,t like the look of the Phone. It should have had an Attractive look.;
Camera to me have reached a stage so good;camera
software is not so efficient;software
So nicely built hardware;hardware
iphone is smoother;
iPhone 11 has better camera sensors which captures more details;camera
iPhone X wins is with the display and the 3D touch.;display, touch
iPhone 11 is a no worries phone;
It got flagship specs, top camera, apple care support, best app selection, good for 5 years or more, no worries on apps;specs, camera
This phone is alright and not too expensive;phone
the design is boring;design
the chipset is very fast and the OS is bloat-free and efficient.;chipset, os
Truthfully, the picture quality is good;picture quality
the user interface because for me its really great so far;user interface
i have no problem with the camera;camera
iPhone 11. What a disappointment;iphone 11
Really disappointed in Apple this was not ready for market;apple
I love iPhone 11.;iphone 11
Camera is Bomb. I havent seen good camera like this;camera
Battery lasts much longer than 7 Plus;battery
Overall good Apple product with normal price;apple, price
Face ID is very secure, it won't unlock when your eyes are closed;face id
I agree iPhone 11 is powerful, good camera, no lag;iphone 11, camera
iPhone11 is efficient, it can even navigate and charge fully using a car 5watt charger.;
Great phone, never regret buying;phone
Everything look sharp and high contrast, even when it is LCD screen.;screen
It's battery life is super long, only 3101mah as stated in this website last 24hrs usage.;battery life
Unlocking is soo much better then my old phone, fast and easy.;
it is rather hot when playing games;
I have used one week the results are satisfying;
Biggest bezels on the latest phones can be found on iphones;bezels
Its hardware and software works seemlessly together to provide the premium feel.;hardware, software
It contains only 3110mAH battery, and yet that battery capacity rivals phones with much much bigger batteries.;battery
Its LCD screen is on par with top of the line android flagships, without light bleeding.;screen
I currently use iphone 11 and im unimpressed with its display;display
the 720 display is one of the biggest flaw the phone has;display
Iphone 11 is a good phone;phone
its slow charging is really annoying and it doesnt feel original when holding it.;slow charging
I must say I am quite impressed by this phone;phone
You'll never understand the experience unless you've used an iPhone for considerable amount of time.;
I am happy enjoying iPhone's experience ;
Should have put an oled in this phone;phone
display is very poor;display
this is the most powerful smartphone on the market right now and it performs like a pro;smartphone
great speakers with Dolby Atmos and spatial audio, great battery life, performance ;audio, battery life, performance
Everything in this phone screams high quality;phone
LCD display is not good for this price;display
Love this device;device
Battery for all day long, the best camera, ultra smooth and the screen is very very good!;battery, camera, screen
LOL, the big-ass notch is still there;Notch
Face ID or not, that is one ugly notch.;Notch
this is it! one of the best mobile in industry!;Mobile
I dont like this design;Design
this is the design? sad...;Design
looks ugly camera bump;Camera bump
12 MP camera sensor again, with 2x optical zoom again... Wow!;Camera sensor
Very bad design and specification;design, specification
This phone is intriguing, I'm thinking about upgrading my phone so I'm looking forward to hearing reviews!;Phone
It is still one of the best camera for smart phones if not the best. Reviews can attest to that.;Camera
This phone is extremely overprized;Phone
I am talking about apple and it is overpriced. With no advanced features;Apple
poor batery;battery
Great Phone. They have done it again. Time for the upgrade.;phone
Steve jobs must be shaking his head in the grave after launch of iPhone 11 pro. They are totally outdated in terms of design and features now;design, features
"188 grams for a 5.8""? LOL, this is ridiculously heavy; I don't want to feel like I'm carrying a brick in my pocket!";
Finally some good f*cking battery life;battery life
Its not a 120hz display its a 60hz display with 120hz of touch-sensing;display, touch-sensing
"It's just an iPhone XS with third camera and ""better"" display.";camera, display
Overpriced phone;phone
this is an absolutely overpriced shit.... even after this huge price tag what you'll get is 18w fast charging when rest of the world is using 25w or higher, 2x optical zoom when other companies have reached 5x,10x,....seriously apple...are you kidding?;price
5G not Supported , it's Huge Limitation.;5g
still 3 year old display with huge notch ugly camera setup & with huge prices.;display, camera, prices
Totally disappointed. Ugly phone of the year.;phone
3190 battery life is very disappointing at the price point.;battery life, price
Dissapointed, im buying P30 PRO. This phone is ugly.;phone
Thats huge notch. while other brands try reduce notch size;notch
Welcome to apple. We at apple would like to introduce the iphone 11 and for the first time in apple history we are giving you a fast charger in the box!;fast charger
Very soon you will see other android devices copying this ugly design.;design
Camera looks like philips electric shaver;camera
Love it;
Very poor back side design from apple(stive jobs);design
for the iOS,no one would think Apple is actually selling a good products to consumers.;ios
So Ugly on it camera.nothing special compare to Xs..dunno what Tim Cook and the team is doing...nothing special except for the camera part...no longer the leader in Tech Industry... announcement damn boring...the whole world could see the actual design even before apple announced it yesterday...are they own the patents or somebody else?;camera, design
Yes, you are right. I'm not the buyer and I don't care about this phone. Just here to see the alien design camera. I'm from India, and It's priced at Rs 99990 ($ 1395) for the 64GB variant. Just too much inflation.;phone, camera, priced
quick charging is still slow and the battery life subpar;quick charging, battery life
At least it finally has a triple camera setup, but the notch is still horrendous. If this was their low end offering i'd consider this against something like mi 9 or mi 9t pro, but at a thousand bucks this is a hard pass - can do so much better for that kind of money.;camera, notch
t's a good change so far. Great to know that it has an ultrawide lens. selfie video with slow motion, selfie 4k video wide lens, and ultrawide. So much packed for the same price as last year.;lens
Cameras at the back look so bad!;cameras
the design innovation and features RIP apple.;design, features
Samsung s10e is 400$ cheaper and 38 gr lighter with the same size;size
Yeah, the iPhone 11 keeps the notch. l hates the iPhone notch.;notch
hey need reduce the notch. Too big for 2019 phone;notch
i dont like back design;design
I never liked iPhone before but now this is the best iphone ever (for me);iphone
notch is neutral for me, good specs and camera;notch, specs, camera
All useless features.;
And still take better photos and videos than other android phones around.;photos, videos
Dude, 5G isn't perfected yet. Apple is really smart for not including 5G on iPhone 11 series.;5g
For Apple who has had some of the best designs ever.;
Camera design is bad.;camera design
have a better option for the front cameras.;front cameras
Just wish they got rid of the notch.;notch
it has nfc?;
this new 11 series looks awful because of ugly back design and three cameras. Why too many cameras there is no need for three or two cameras one is enough.;back design, cameras
The X design is awesome;design
I own an iPhone X right now, working excellent bought last August 2018 and battery life is 96%.;battery life
the design is terrible come on apple you can do better than this or do you want to fall out of the tree;design
Apple must be kidding me;screen
The design is from 2017, this is already the third generation with the same design. Just like Porsche 911 designers, iPhone designers also don’t have much to do. Look at the iPhone 6, 6s, 6s Plus, 7, 7 Plus, 8. All the same design. It is not ugly, but a bit boring. When I hold my iPhone 6, it still looks good, but it is just boring to have the same design for generation after generation. And it has these huge bezels all around since the iPhone X.;design, bezels
You don't change the design in the sake of changing.;design
Every year, the phones apple launch, influences the phones coming out later in the year or the year after. Many Chinese brands that have much potential become misguided by apple's old outdated design which holds the industry back. If their phones don't sell enough, other companies will be discouraged from copying it which will spark more innovation. So yes, the amount of sales they get does affect us.;design
At the current state of the industry, Apple is feeling the market pressure from the Chinese brands. If they continued the 2-year-old design any further, the sales of iPhones would take a huge hit. Although the final product has turned out to be garbage, cooties to them for at least trying.;design
Still no USB-C, design is disaster, price is high.;usb-c, design, price
Camera has improved but it also did on Android, so we have to see how well it'll go against the competition.;camera
All in all, I'll never pay over 500 or 550€ tops for a phone.;phone
The camera is always 12mp with iphone. camera is bad;camera
Camera on my DSLR is 12MP and it takes great photos. more mexapixels doesn't make your photo look better, it can actually be opposite if the sensor and lens aren't very good. That's why there's no MP war in mobile world, because companies knows adding more mexapixels doesn't make your photos better.;camera
confirmed only 4g ram;ram
2019 One Of The Worst Design In Apple..Really Disappointe.. Hate This;design
4 GB RAM in 2019, for 1000$ phone, is insane even iOS is optimized, 3rd party apps are becoming more hungry.;ram, phone, ios
Don't buy;
iPhone 11 PRO and iPhone 11 PRO MAX have 4GB RAM only;ram
The picture looks good in samsung because they have much better screen resolution and pixels per inch(ppi). Thats the only reason. You can compare;picture
It remind of cheap brands phone having 3 or 4 camera if this is the real pictures iphone shares must be falling rapidly;camera
It is the fastest smartphone ever. Think about reality insted of spec sheets.;
the real compact phone!!;
But the design is horrible. I was waiting for iPhone 11 to show up. I just didn't believe the design pictures in the leaks, it turned out to be true. Really disappointed in Apple to come with such an ugly design in 2019.;design
I like the iOS.;ios
Guys ! We can't ignore the excellence of iPhones. In each and every manner there is no substitute of apple. The display quality, the operating systems nailed it's reflection on other os. The sound and the feel of iPhone has no replacement in this world. In simple words can't wait anymore for new I phone .;display, operating systems
That's a bit exaggerated, The redesign is terrible this year, battery is sub par by today's standards and only perk of getting new iPhone is A13 chip.;redesign, battery, chip
Design is definetely better then brick. Innovation a lot better as it gives a feel of Philips Norelco Electric Shaver. Personally i would rate this phone very highly since it has 4k video recording front-back and still has 64gb option.;design
Apple at its finest.;apple
It is absolutely beast(processing power) then its predecessors iphones.;
All in all a great product.;product
An absolute recommend.;
Finally in terms of pricing, it's reasonable since its an iphone and provides value to its users by its name itself.;pricing
I've grew up on windows machines. Made the switch to mac so for music production and as such have been immersed in the apple ecosystem. My last phone was the iphone xs 64gb. I decided to buy the s10+ on a whim and have been thoroughly impressed with the samsung. I am honestly not impressed with the iphone 11. Sure iOS offers a slick user experience but its not enough to justify apple ignoring the clear advantage the current android flagship phones have in terms of specs. Thumbs halfway down for me.;ios
Get a used iPhone Xs or Xs Max, much better.;
closed apple ecosystem is like living in north korea, no freedom;
Very EXPENSIVE for almost Nothing! Apple is SIMPLY playing MIND GAME with Apple Fans. I think is not a Good Practice to Stay Ahead a Brand Ambassador;
That's a very good decision and of course the XS has a much beautiful design!;design
Imagine not buying one but wishing you could and instead hanging around on the iPhone 11 pro comment section of gsmarena to troll because you really want one.;
The Only Advantage in iPhone 11pro is some special camera features and not to forget 800 Nits which is Pretty Awesome for HDR;camera features
"there is no need for bezels design wise. All of the future phones should be bezel-less. iphone 11 design looks ancient, outdated, useless, terrible, disgusting to me. If it was notch-less with full screen on the front, and have a good back design; I would pay a few hundreds more for iphone 11 pro max.";design
Dont know how is Iphone 11 outdated, you probably never tried it in real life;
Got the phone today and the design looks very good in real life and the new cameras are stunning.;design, cameras
 Overall this is definitely a good upgrade over the x but I would not like to say it would be a huge leap over the xs.;
It does have faster face I'd than my iPhone x but I cannot find any difference in the screens at all. Battery life is not what I thought it would be. There is no way that my iPhone 11 pro would last 4 hours longer than my iPhone x.;
Excellent phone good camera. Night mode is good but could be better. ;camera, battery life
new cameras, but can't do 8K30 video;cameras
Camera in daylight is amazing and the skin tone is the best I've seen. Impressed with the cameras.;camera, cameras
Dont expect 4 hours more screen-on time, noone said you would get that, 4 hours more is a best case scenario with varied usage. Build realistic expectations through understanding what youre reading.;
I don't like it;
Nothing new here moving on.;
Yea I mean it's a new iphone with the same specs as the 10 and yet the Samsung galaxy S10+ has way better specs;specs
"Got my 11 Pro 512gb today, coming from Xs. Worthy upgrade? Yes absolutely, though i have to admit that wideangle photo is as i expected; not very useful but it could be handy at times. Performance is ofcours extreme, faceid is noticeable faster than Xs, the texture of the back glass is awesome.";photo, performance, faceid, back glass
First of all, the fact that it's only 12 megapixels means absolutely nothing, the image quality is still amazing. Second, if you're complaining about RAM on an iOS device, you've clearly never used one in your life.;image quality, ram
The display super retina and cpu hexagon is extremely satisfy but still poor battery;display, battery
the iphone is best phone in the world but thats what apple fans think.;phone
iPhones are way better than android except the price that too in India.;iphones, price
Radiation level is beyond threshold in the new iPhone 11 (Pro too), even without any data connection. Also, support forums at apple site have gone nuts over heating issues, draining batteries, blurry wide-angle camera, etc. Even a premium brand is still far from perfection.;radiation level, heating issues, batteries, wide-angle camera
Camera is not extraordinary, does not let you use night mode on wide angle camera.... huawei let's you.;camera
Battery compared with huawei is a joke.... Always looking for percentage and for charging places.;battery
I have been used for half a month and overall it is ok;
I cant believe how horrible sound via headphones is.. i used android for few years and am totally surprised how bad sound is. Iphone 3gs had much better sound quality via 3.5mm jack. Am just sorry for people who listen this garbage everyday. Peace;sound
This is the world most, superb , extreme, ultimate device;device
Now it is perfect design of Apple.;design
I love it so much;
Worst design ever saw in a phone;design
What a big notch;notch
Nice phone, but this little beast will cost at least $1400 where I live haha man those prices.;phone, prices
This is the second ugliest phone;phone
IPhone is making the ugliest smartphone;
Don't think this will bring anything revolutionary to the table;
Truth that you leave... It's the ugliest iPhone ever!;
Very bad rear design;design
Cool for some people, but ugly for most;
this phone will be utterly disappointing.;phone
the huge notch in 2019 is unacceptable;
Amazing device;device, notch
Personally I think that this is the ugliest design of iPhone;design
Nice Speaker array on the back;speaker
Apple's worst design;design
12 MP camera sensor again, with 2x optical zoom again;camera
Still 3500 battery;battery
Ugly design;design
So, still NOT QHD screen, still NOT more than 12 Mpx Camera. No 3,5 mm Jack, Still no Card slot.;screen, camera, jack, card slot
Absolutely overpriced;
Still the notch.;notch
Another overrated and overpriced worthless phone haha;phone
What I hate about this phone is that NOTCH and that FREAKING HUGE HOLES CAMERA!!;notch, camera
Look here. Hole punch is still a notch;notch
Same ugly design every year.;design
way over priced - - as always;
Not Happy about that phone really;phone
It has almost nothing new and uglier design.;design
Why do they keep this old notch and screens;notch, screen
the battery capacity is still small comparing to other Android phones;battery capacity
the design of camera is ugly;design
it's soo expensive,at this prices you can buy a better phone;prices
Ugliest design ever;design
ugly designed camera;
The best design ever, WO;design
Older design and not yet 5G support ;design, 5g
Lol 6gb ram;ram
The design is horrible;design
The ugliest notch in 2019.;notch
The A13 chip is the power, which will skyrocket compared to any other device on the market today;a13 chip
I really don't like that big notch. looks outdated already.;notch
I Love This Product;product
This is Most Powerful and Liked Phone from Me;phone
really disappointed;
The phone is quite good.;phone
There are no 5G network;5g
poor upgrade from last year;
the worst looking screen/phone ever;screen
omg so Apple really released this shit looking phone to its customers.;
Worst backside design in a phone and still the big notch while some other phones have removed the notch completely.;design, notch
The most ugliest phone ever made;
better camera and speed;camera
A13 is more powerful processor than any other phone;a13
Nothing new here, same design, difference! is the back that is ugly AF sorry am not a hater I just gotta be honest looking;design
Too much Weight;weight
226 g, that is far too heavy!;
Oh my god. No in display fingerprint.. cost 11 hundreds of dollars..;
Looks like an Alien;
226 grs? You're joking.;
no change at all disappointed;
Camera look like ugly but that will be another trend like notch.;camera
Iphones are more and more putting on weight. Too heavy phones is a nightmare for the hands.;weight
where is the 5G band its time to make 5G support phone.;5g
camera still 12MP;camera
Very very Bad Design This;design
ah...battery!;battery
It looks like Philip's shaving machines;
No 5G network support in Iphone yet.;5g
226g weight like a metal bricks??? the weight is about almost the mate 20X weight! Shame apple!!!;
Alien like camera lens phone??? I hate this phone design.;camera, weight, design
most ugly phone on world;phone
same specificaticons as previous model, no micro sd , no 3,5 mm audio jack, no 5g;specification, micro sd, audio jack
overpriced;
Wtf .. battery;battery
worst looking phones ever;
Nothing new, nothing impressive. No innovation at all;
Just Love the Apple iPhones;
very bad and old look back cover style come on iPhone what happened with your designer team its look like a normal phones;back cover
The only thing i dont like about this phone is the design. cameras looks weird;design
Wow, an iphone with OLED display. Took them a while.;display
Old phone in old design;design
this is the ugliest phone ever.;phone
this is the best in smartphone industry;
it looks a great phone;phone
one of the best ever;
Disappointed with the design...I thought the could pull a big surprise as they did with the iPhone x but no;
Too big and akward notch ... backside cameras looks like tripple barrel gun;
I will never change my android for an iPhone they don't have no difference from the android the system that iPhone are using android did have it first very disappointed;
ugly iphone.. same design with useless notch;design, notch
the NOTCH just got wider!!!!;
They have upped their game a little bit but kept the same design to be honest I would go for the huawei flagships and Samsung flagships instead.;
"The ""worst"" iPhone design ever. Camera placement looks like a fidget spinner and notch is very annoying. 0/10 for the design.";design
not gonna lie apple is going to face problems;
But lame design. And it gonna feel heavy on the hands;design
It's dope;
This design shows that Apple is totally out of ideas;design
Although the camera setup is not the most appealing one, it's still a beautiful and extremely capable phone.;
O boy ugliest iphone Ever. looks like spider eyes;
Apple you should learn from MEIZU how to make beautiful phone with thin bezel instead of ugly notch...;
What a terrible design;
Fastest CPU and GPU, others still struggling to catch up with previous gen CPU.;cpu, gpu
At the core of this update is Apple's new processor, the A13 Bionic, which Apple claims is the fastest CPU and GPU in a smartphone.;processor
Big Disappointment.;
Spider's eyes low spec. Worst update.;
4GB RAM is a disappointment. it should have been 6GB;ram
This camera looks like fidget finger. Nothing new;camera
The most advanced ugliest camera ever on a phone;
Why is too expensive ?!;
the phone is damn so beautiful especially cams form and replacement;
Same front design (notch);design
Same 4 GB RAM;ram
Same 64 GB ROM to choose minimum and above (price tag);raom
No 5G;5g
No reverse wireless charging;wireless charging
Additional 3rd Camera Lens (Ultra Wide);
Slight improved CPU;
Slight improved GPU;
Apple has hurt its fans by introducing ugly looking back of new 11 series.;
The reason why Apple is still overpriced is because of that NOTCH!!!!!;
I'm sorry, but the iPhone notch is HIDEOUS.;notch
The first time I saw the iPhone X, I couldn't believe they would release something so damn ugly. Now it is 2 generations later and that damn notch is still ever present.;notch
worst phone ever lol;phone
No USB C type port;
yes the best phone hands down just because they say it must be true;phone
Hello, i agree with you, the notch looks a little dumb.;notch
The ugliest 3-camera phone placement I've ever seen.;
They have introduced new feature called Heptic touch;
Apple don't know the meaning of the word Innovation;
New pro max is hefty quarter a kg weight and thicker;weight
Bezel are even thicker and notch;
I’m an Apple user and I’ll even say that this release is truly disappointing;
There is very little difference between the 2018 and 2019 devices, both aesthetically and technically.;
Horrible. Enough reason to pass along with the price.;
Ok, i know that the optimisation is good and so is the ecosystem so, yeah fine, use iPhones.;
I'm a fan of apple but the fact is we have been seeing same prior notch design for 3years Apple please bring some innovative design at least for new year incremental approach needs to be change now...we all want revolutionary steps from apple in next year..;
For the people who use it for the ecosystem and fluidity, I just don't think it's worth it just for that considering the price you're paying for it;
APPLE SELLS OLD TECHNOLOGIES AT LAST SEC INOVATION PRICES to loosers that now nothing outside Apple environment;
The iPhone 11 pro Max already has a bigger battery compares to iPhone XS Max!;battery
why aren't they going for a different thing...because iphone 11 is same as the iphone 10...only the camera structure is differs from the other one...so hoping a bigger difference in the future,,;
But, iPhone 11 has ultra-wide camera too;camera
Sorry, but it's ugly;
Wtf 4gb ram in 2019???? .....(No comment);ram
Don't mind them.iOS is ahead of Android like 10x far better. Android users including me should just accept it. Let everyone stay on their lane;ios
This is real badass phone.;phone
Best camera and video camera;camera
Best screen;screen
Best CPU;cpu
Best GPU;gpu
Best performance;performance
Best battery life;battery life
Best price.;
Only 4Gb ram???;ram
Best phone ever..;phone
Boring phone with big price, making the same thing every year;phone, price
Apple invented notch but don't know how to remove the notch;notch
You are totally right, iPhone is the worst;iphone
Still ugly still notch still stupid design and still 99.9% customer satisfaction;notch, design
it has 3696 battery capacity nice;battery capacity
I'm not gonna bad-mouth the iphone11, it really looks good (at least not as ugly as most early leaks and rumours had suggested);
The thing is Apple is more optimized. While more RAM, CPU speed, etc. will definitely help;
It's the best phone ever.;phone
Battery charging is so late;battery charging
from my point of view Apple lost its edge this year with iphone 11 and 11pro;
just got this phone! And the camera is crazy good;camera
4gb of ram at that price!??? I can find a phone with 8gb at over half the price or I can build a gaming pc with 4x times amount of the ram. So over priced;price
It has the best battery life for a 2019 flagship;battery life
Best screen;screen
Best CPU and GPU;cpu, gpu
Best battery life;battery life
Best still and video camera.;video camera
This phone is really killing it;phone
I've never been an Apple fan, but this phone is exceptional in so many ways;phone
its display is among the best in the market in 2019 and so are its cameras and build quality;display, cameras, build quality
Its CPU, GPU and battery performance is the absolute best in any 2019 phone so far;cpu, gpu, battery performance
The large notch will always remain the same eyesore as in the times of the iPhone X, and the camera arrangement on the back is definitely not the best looking.;notch
over priced;
Iphone 11 pro max now this time stil best phone of the world;phone
Much better if iphone have radio and dual sim;radio, dual sim
so expensive;
I got gifted the iphone 11 pro, it costed way too much i can agree on that;
It has great colour calibration,bright display,good viewing angle,great black deep for lcd screen plus it has 120hz touch-sensing which i can feel the silky smooth experience in scrolling and tapping;
I have a space gray and it looks very good in real life.;
If we talk about the rear it's probably the ugliest iPhone ever, they could make a better job with the cameras area.;
Faster in opening phone menus even when windows are closed (finally !) Some apps open much faster and pages within those apps load much faster , but only some apps. Regardless, this is probably attributed to iOS 13;
Goddamn this phone is ugly. So what is making people buy this phone with the same design.;design
Hate that notch. No innovation coming from Apple in design;notch, design
Absolutely right.... Apple phone its really a horrible product;product
Fastest smartphone on the planet, plain and simple..;smartphone
I cant believe people still pay Apple's extortionate prices for sub-standard tech;prices
Bad design;design
The best phone currently you can get is the Iphone 11 pro max, the display is really gorgeous and the processor A13 will remain the fastest, the battery is really good for me as very heavy user;
seeing only 8 mpix selfie camera is not really good.;selfie camera
Camera only 12 MP and Battery only 3.500 mAH ? No !;camera, battery
If only there was a 1TB storage and 12GB RAM variant of the smaller phone.;storage, ram
Why FM radio in USA & Canada only?;fm radio
They giving the lower end phones bigger battery;battery
Samsung should build a larger battery like other mobiles.. that's critical for flagships..;battery
The S10 have a 3500 mAh battery!;battery
Samsung always lies on official renders of phones, they always show less bezel then are the case.. Samsung are liars;
3300 mah battery are you made Samsung??;battery
Weak battery;battery
Bad battery and front camera looks annoying. Disappointed;battery, front camera
The only weak point is the battery, otherwise this phone is solid;battery
the weak battery is a deal breaker for me.;size, battery
Samsung offers luxury and comfort while Apple offers well-maintained secrecy;samsung, apple
every phone which comes battery under 4000mah won't stand a chance in the competition who offers big battery. I can see people who buy below 4000mah phones will complain endurance, hardly a day or less than 10hours.;battery
It's got a big hole in the screen. No thank you.;screen
I prefer to see better resolution;resolution
The battery capacity will upset most of us. We expect 4000 mah+;
not worth it;
Battery capacity is a gimmick;battery, battery life
Why NO Radio FM available for Europe ?! Is a true non sense;radio fm
Batery only 3300 why ????;battery
You can stick a s7 edge battery in a s6 which has a 3500 mah battery and the standard s6 battery is 2550;battery
Samsung need 24 MP;
S10 just bring few features.;features
When is the official launch date in India, any idea ?;
Maybe the battery is not accurate. It must be more than 4000mah.;battery
US Version 6GB Standard? Worth it to upgrade from S8+, I slept on the S9+ because it was too different externally, just internally.;
900 euros is very high price though.;price
a great device with the Triple rear cameras, the headphone jack, Micro SD card slot and all the usual Samsung's goodies.;cameras, headphone jack, sd card
Sadly we will have to get used to the ugly holes just like the notches;holes, notches
Yet again dissapointed to see smaller battery;battery
With the Snapdragon 855 efficiency and reduced power consumption the 3400 MaH battery will be fine;snapdragon 855, power consumption
battery is enough... you need one day full usage.... the next half day is useless...;battery
camera in display, ugly design, worst than Notch...;camera, design, notch
man these specifications are not so impressive should've made that battery 4k with the latest rivals giving more lifespan and that megapixels is not high;battery, megapixels
love all the specs but fck with that price tag, it should cost 650$, 700$ top;specs, price tag
Yeah.. no 6GB RAM version of S10 :) only S10e has 6GB RAM;ram
I'm glad Samsung didn't take away the 3.5mm headphone jack and micro sd card slot. Way to go Samsung! I will stick with you.;headphone jack, sd card
good bye samsung;
FM radio just for USA and Canada, really? I will look for a phone which bears in mind the rest of the world.;fm radio
the notch is ugly as hell.;
The camera should have gone behind the screen.;
Disappointed phone.;phone, camera, notch
the worst thing is samsung included a bunch of wallpapers with dark corners to hide the notch. the battery capacity is also less;notch, battery
Respect for Samsung didn't take away like others the 3.5mm jack and micro sd slot, but the price is to high now.;3.5mm jack, micro sd, price
Missing IR Blaster, that's important for me;ir blaster
No micro SD card slot in S10!!! Only in S10+(up to 512GB) today spoke with samsung representative.;sd card
This phone is a joke!;phone
"why everyone is so harsh with this new samsung and give very very bad comments. i reviewed the iphone section and i can't see any badwords there.is it because its ""apple"" so it cant be compare buy any brands? if its not on your expectation at least u can give a civilised opinion. Be a human, not a savage apes. and one thing if you cant buy it, just shut your filthy mouth and fingers off";
while you guys complain and say sh*t stuff about this, samsung is making huge money from these phones;
Looks like garbage.. No thank you;
what a great phone. it full me with joy;phone
It looks preety cool.;
I love this phone !;phone
And again we have no specification on the SD card type compatibility;sd card
So far this beauty is first in the list for the my next phone. It checks all the boxes I need and the size is perfect;size
Exynos 9820 sucks... Europeans are getting ripped off by Samsung;exynos
brilliant job by SAMSUNG. S10 is LOOKS promising;samsung
very very costly cell phones, I am using S7 edge since last 4 years i am quite satisfied with it and do not need to change with new one. it is all vastage of mony.;phones
S10 family welcomes you.i am very happy & fully satisfied in the phone feature.;feature
Speaker on the right bottom and the selfie camera on the top right.... U will cry and so disturbing when u gaming and video.. what a shame and failed design big brand Samsung! This is a simple knowledge how u don't know that! OMG!;speaker
Front camera location - bad. Top and right part of the screen from front camera seems to be useless! Only to drain battery! am I right? And no big improvements over S9 camera. Only wide angle and zoom lens were added. What about sensor? is it the same as on S9?;front camera
Bottom Bezel more bigger than top;bezel
Wait this has FM radio cool!;fm radio
and the good part is that it has a headphone jack !!! totally worth the price;headphone jack, price
Tried the S10, not impressed. Seems a lot like my S9, but it is even taller.;s10
The chrome body around the phone looks old fashion. Can't see any reason to upgrade. But speaker still really good and loud.;body, speaker
Why are you exiting about this phone ? No much improvement (exept for the price);
Wish the s10e too had the curved edge display like its big bro;display
Come on now. Either all countries should have the sd855 or all should have the exynos one. This is discrimination. Samsung should know better.;sd855, exynos
Samsung will always be king phones;phones
Rumors say they will keep the notch one more year :/;notch
Galaxy s10 is perfect size for me, but I'm worried about the battery;size, battery
the price is way too expensive;price
Why they give only 15w charger in s9 model they gave 18w charger;charger
S10+ ACCETABLE battery life, S10 poor poor battery life. I wanted S10, now I think weather to accept a bigger phone or a weaker battery;battery life
The front camera looks quite small and nice in preview;front camera
Charging speed is fantastic dont see the numbers , i charge it from 25 to 100 in 50 min.;charging speed
Size, is perfect !!! And it is realy fantastic;size
Battery: after the 3rd cycle is good. Now i am talikng to you and my SOT is 1 hrs and 3 min ... The battery now is 91% ... I think is is learning my use.;battery
Front camera, has group selfie and that mean wide camera so u have wide angle selfie dont worry... And i dont mean panorama i mean realy wide angle;front camera
Speaker are damn good;speakers
The finger print needs to be press a little harder i have no idea why maybe because of the screen protector ( it comes with pre installed screen protector );finger print
Speakers are very load !!;speakers
guys its so disappointed to see all reviews focusing on the s10+ only and no one mention the perfect size s10 , i myself was looking for battery test as this is my main concern with the normal s10 , but end up hopeless and order it myself , hope the battery is onbar/near the s10+;size, battery
the battery life is one day no more with normal use;battery
The worst battery life of the Galaxy S10 range. Average usage should get you through the day but heavy usage your probably gonna need a charge by teatime. Dread to think how long it lasts if you use the reverse charging and have the always on display on.;battery life
FM radio (USA & Canada only) = I am from Europe, then I don't buy this phone.;fm radio
I almost ordered this one. I switched to S10+ for the poor S10 battery. Lower even than S8. They should have put at least 3700MAh in S10. I was so angry with Samsung that I almost give up on S10 for this reason. There are a lot of people that give up for good. Samsung lost some clients for this.;battery
Also back video does not support ultra wide recording, only to take photos. I would not say its a big improvement over s9;video, photos
s10 has great features and I do not regret swapping from iPhone to s10;features
I got my s10 bout three days ago and I love it heaps it is a very great phone;phone
Super phone in all sense. ;phone
Battery backup satisfactory. Camera very useful type. Good buy.;battery, camera
Battery life is quite poor.;battery life
I have the phone got it yesterday the battery is ok. All depends on your usage/setttings;battery
I received my s10 two days back..except battery life, everything is excellent. Getting only 18 hours...even In idle condition battery draining drastically;battery
The display is beautiful and I don't notice the cutout anymore, especially with the R2D2 wallpaper.;display
This phone is fantastic. Fast, easy to hold and just everything a premium phone should be. I have had if two days and so far no issues with battery.;phone, battery
Earlier people complain about notch. Now with Galaxy S10 series owners playing with new wallpapers.;notch
iPhones are just way better. No matter how many upgrades the galaxy models have, the software can ever compare to IOS in any iOS device;software
I am using s10 now from 8 days.. All is well but battery life is very less. Maximum 16 to 18 hours even on power saving mode is on. Especially battery drain fast during idle mode. Samsung should fix that issue by update.;battery life, battery
Thank you Samsung for keeping the headphone jack.;headphone jack
No matter how good is your phone, without a good battery life, it's frustatting !;battery life
Samsung battery sucks i got a J200f but i hate its battery improve on that.;battery
Best phone i have ever used - excels at everything. Except battery. I'm getting fed up with Samsung not sorting this. I know the S10 Plus has decent battery, but their smaller models always suffer. I've optimised the phone, taken off all advanced features i don't use, removed bixby screen, even went as far as to using HD+ only and the dark theme (which i actually enjoy), yet it doesn't last throughout the whole day.;battery
I just bought S10 a few days ago. No doubt it's a great phone but I have started to face some issues which are quite irritating.;phone
Secondly, the notification light. The notification light is a concern for me as I used to judge my notifications with the color of notification light. Now it's not there anymore.;notification light
The last one is the front camera live focus. If you select other options like zoom and the one ones, they lag a lotttttt.;front camera
Have dual sim card model.;sim card
Fast phone.;phone
Good display.;display
Good camera (like the wide, normal, and zoom mode).;camera
